request_id,fy,cc,account,evidence_classification,monthly_cells,periods,expected_vnd_total,reference_vnd_total,delta_vnd_total,source_evidence_examples,reference_evidence_examples,business_question,accepted_response
FA-DEC-001,FY2026,1412000018,5006016242,REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,11,202504;202505;202506;202507;202508;202509;202510;202511;202512;202601;202603,1063604870,1082712367,19107497,docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!42|asset=140000207 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!43|asset=140000208,reference_outputs\secondary\FY2026\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!123 ; reference_outputs\secondary\FY2026\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!124,Chọn snapshot chính thức dùng cho kế hoạch: asset ledger nguồn hay công thức USD nhúng trong file phòng ban.,ADOPT_SOURCE_LEDGER | PRESERVE_REFERENCE_SNAPSHOT | PROVIDE_APPROVED_NEWER_REGISTER
FA-DEC-002,FY2026,1412000018,5006016244,REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,11,202504;202505;202506;202507;202508;202509;202510;202511;202512;202601;202602,1396860311,1434889291,38028980,docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!1047|asset=170001515 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!1271|asset=170001977 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!1272|asset=170001978,reference_outputs\secondary\FY2026\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!125 ; reference_outputs\secondary\FY2026\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!126 ; reference_outputs\secondary\FY2026\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!128,Chọn snapshot chính thức dùng cho kế hoạch: asset ledger nguồn hay công thức USD nhúng trong file phòng ban.,ADOPT_SOURCE_LEDGER | PRESERVE_REFERENCE_SNAPSHOT | PROVIDE_APPROVED_NEWER_REGISTER
FA-DEC-003,FY2026,1412000018,9114120007,REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,12,202504;202505;202506;202507;202508;202509;202510;202511;202512;202601;202602;202603,196550595,198523204,1972609,docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!42|asset=140000207 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!43|asset=140000208 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!1047|asset=170001515,reference_outputs\secondary\FY2026\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!154 ; reference_outputs\secondary\FY2026\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!155 ; reference_outputs\secondary\FY2026\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!156,Chọn snapshot chính thức dùng cho kế hoạch: asset ledger nguồn hay công thức USD nhúng trong file phòng ban.,ADOPT_SOURCE_LEDGER | PRESERVE_REFERENCE_SNAPSHOT | PROVIDE_APPROVED_NEWER_REGISTER
FA-DEC-004,FY2026,1412000034,5005036246,REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,5,202505;202507;202508;202601;202602,1516280908,1516282929,2021,docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!220|asset=160005419 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!293|asset=160005492 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!294|asset=160005493,reference_outputs\secondary\FY2026\04.KDTVN トナー製造課_MP FY2026_各予定(Ver02).xlsx|内訳ﾘｽﾄ(4～3月)!70,Chọn snapshot chính thức dùng cho kế hoạch: asset ledger nguồn hay công thức USD nhúng trong file phòng ban.,ADOPT_SOURCE_LEDGER | PRESERVE_REFERENCE_SNAPSHOT | PROVIDE_APPROVED_NEWER_REGISTER
FA-DEC-005,FY2026,1412000034,5006016242,REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,11,202504;202505;202506;202508;202509;202510;202511;202512;202601;202602;202603,4443923875,4443930963,7088,docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!26|asset=140000188 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!36|asset=140000199 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!37|asset=140000200,reference_outputs\secondary\FY2026\04.KDTVN トナー製造課_MP FY2026_各予定(Ver02).xlsx|内訳ﾘｽﾄ(4～3月)!68,Chọn snapshot chính thức dùng cho kế hoạch: asset ledger nguồn hay công thức USD nhúng trong file phòng ban.,ADOPT_SOURCE_LEDGER | PRESERVE_REFERENCE_SNAPSHOT | PROVIDE_APPROVED_NEWER_REGISTER
FA-DEC-006,FY2026,1412000034,5006016244,REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,11,202505;202506;202507;202508;202509;202510;202511;202512;202601;202602;202603,1063595725,1083704615,20108890,docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!1059|asset=170001584 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!1170|asset=170001875 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!1174|asset=170001879,reference_outputs\secondary\FY2026\04.KDTVN トナー製造課_MP FY2026_各予定(Ver02).xlsx|内訳ﾘｽﾄ(4～3月)!69,Chọn snapshot chính thức dùng cho kế hoạch: asset ledger nguồn hay công thức USD nhúng trong file phòng ban.,ADOPT_SOURCE_LEDGER | PRESERVE_REFERENCE_SNAPSHOT | PROVIDE_APPROVED_NEWER_REGISTER
FA-DEC-007,FY2026,1412000034,9114120007,REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,3,202506;202507;202602,187148933,187148928,-5,docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!26|asset=140000188 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!36|asset=140000199 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!37|asset=140000200,reference_outputs\secondary\FY2026\04.KDTVN トナー製造課_MP FY2026_各予定(Ver02).xlsx|内訳ﾘｽﾄ(4～3月)!38,Chọn snapshot chính thức dùng cho kế hoạch: asset ledger nguồn hay công thức USD nhúng trong file phòng ban.,ADOPT_SOURCE_LEDGER | PRESERVE_REFERENCE_SNAPSHOT | PROVIDE_APPROVED_NEWER_REGISTER
FA-DEC-008,FY2026,1412000044,5006016242,REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,9,202507;202508;202509;202510;202511;202512;202601;202602;202603,425837529,865930869,440093340,docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!23|asset=140000184,reference_outputs\secondary\FY2026\22.KDTVN 金型技術課_MP FY2026_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!41,Chọn snapshot chính thức dùng cho kế hoạch: asset ledger nguồn hay công thức USD nhúng trong file phòng ban.,ADOPT_SOURCE_LEDGER | PRESERVE_REFERENCE_SNAPSHOT | PROVIDE_APPROVED_NEWER_REGISTER
FA-DEC-009,FY2026,1412000056,5006016242,REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,10,202506;202507;202508;202509;202510;202511;202512;202601;202602;202603,9921675949,11179077855,1257401906,docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!8|asset=140000153 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!11|asset=140000164 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!12|asset=140000165,reference_outputs\secondary\FY2026\23.KDTVN 部品製造課_MP FY2026_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!430 ; reference_outputs\secondary\FY2026\23.KDTVN 部品製造課_MP FY2026_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!431,Chọn snapshot chính thức dùng cho kế hoạch: asset ledger nguồn hay công thức USD nhúng trong file phòng ban.,ADOPT_SOURCE_LEDGER | PRESERVE_REFERENCE_SNAPSHOT | PROVIDE_APPROVED_NEWER_REGISTER
FA-DEC-010,FY2026,1412000056,5006016244,REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,12,202504;202505;202506;202507;202508;202509;202510;202511;202512;202601;202602;202603,1758578711,3079133676,1320554965,docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!1046|asset=170001461 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!1159|asset=170001864 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!1172|asset=170001877,reference_outputs\secondary\FY2026\23.KDTVN 部品製造課_MP FY2026_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!428,Chọn snapshot chính thức dùng cho kế hoạch: asset ledger nguồn hay công thức USD nhúng trong file phòng ban.,ADOPT_SOURCE_LEDGER | PRESERVE_REFERENCE_SNAPSHOT | PROVIDE_APPROVED_NEWER_REGISTER
FA-DEC-011,FY2026,1412000056,9114120007,REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,12,202504;202505;202506;202507;202508;202509;202510;202511;202512;202601;202602;202603,1086205041,1341852873,255647832,docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!8|asset=140000153 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!11|asset=140000164 ; docs\MP2026\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx|2024.12!12|asset=140000165,reference_outputs\secondary\FY2026\23.KDTVN 部品製造課_MP FY2026_各予定(Ver01).xlsx|内訳ﾘｽﾄ(4～3月)!439,Chọn snapshot chính thức dùng cho kế hoạch: asset ledger nguồn hay công thức USD nhúng trong file phòng ban.,ADOPT_SOURCE_LEDGER | PRESERVE_REFERENCE_SNAPSHOT | PROVIDE_APPROVED_NEWER_REGISTER
