fy,cc,account,period,expected_per_asset_round_vnd,current_writer_category_round_vnd,alternative_terminal_before_full_fy_vnd,reference_actual_vnd,delta_reference_minus_expected,classification
FY2026,1412000004,5005036246,202504,1522161729,1522161730,1728903867,1522161730,1,ROUNDING_ORDER
FY2026,1412000004,5005036246,202505,1478401556,1478401557,1685143694,1478401557,1,ROUNDING_ORDER
FY2026,1412000004,5005036246,202506,1355417727,1355417729,1562159865,1355417729,2,ROUNDING_ORDER
FY2026,1412000004,5005036246,202507,1165129580,1165129581,1371871718,1165129581,1,ROUNDING_ORDER
FY2026,1412000004,5005036246,202508,979132342,979132343,1185874480,979132343,1,ROUNDING_ORDER
FY2026,1412000004,5005036246,202509,726083667,726083670,932825805,726083670,3,ROUNDING_ORDER
FY2026,1412000004,5005036246,202510,610355032,610355034,817097170,610355034,2,ROUNDING_ORDER
FY2026,1412000004,5005036246,202511,490863344,490863347,697605482,490863347,3,ROUNDING_ORDER
FY2026,1412000004,5005036246,202512,441828907,441828909,648571045,441828909,2,ROUNDING_ORDER
FY2026,1412000004,5005036246,202601,410091407,410091409,616833545,410091409,2,ROUNDING_ORDER
FY2026,1412000004,5005036246,202602,266223289,266223290,472965427,266223290,1,ROUNDING_ORDER
FY2026,1412000004,5005036246,202603,253094374,253094375,459836512,253094375,1,ROUNDING_ORDER
FY2026,1412000004,5006016242,202504,213129247,213129246,213129247,213129246,-1,ROUNDING_ORDER
FY2026,1412000004,5006016242,202505,213129247,213129246,213129247,213129246,-1,ROUNDING_ORDER
FY2026,1412000004,5006016242,202506,213129247,213129246,213129247,213129246,-1,ROUNDING_ORDER
FY2026,1412000004,5006016242,202507,213129247,213129246,213129247,213129246,-1,ROUNDING_ORDER
FY2026,1412000004,5006016242,202508,213129247,213129246,213129247,213129246,-1,ROUNDING_ORDER
FY2026,1412000004,5006016242,202509,213129247,213129246,213129247,213129246,-1,ROUNDING_ORDER
FY2026,1412000004,5006016242,202510,213129247,213129246,213129247,213129246,-1,ROUNDING_ORDER
FY2026,1412000004,5006016242,202511,213129247,213129246,213129247,213129246,-1,ROUNDING_ORDER
FY2026,1412000004,5006016242,202512,213129247,213129246,213129247,213129246,-1,ROUNDING_ORDER
FY2026,1412000004,5006016242,202601,213129247,213129246,213129247,213129246,-1,ROUNDING_ORDER
FY2026,1412000004,5006016242,202602,213129247,213129246,213129247,213129246,-1,ROUNDING_ORDER
FY2026,1412000004,5006016242,202603,213129247,213129246,213129247,213129246,-1,ROUNDING_ORDER
FY2026,1412000004,5006016243,202504,636020,636020,636020,636020,0,EXACT_MATCH
FY2026,1412000004,5006016243,202505,636020,636020,636020,636020,0,EXACT_MATCH
FY2026,1412000004,5006016243,202506,636020,636020,636020,636020,0,EXACT_MATCH
FY2026,1412000004,5006016243,202507,636020,636020,636020,636020,0,EXACT_MATCH
FY2026,1412000004,5006016243,202508,636020,636020,636020,636020,0,EXACT_MATCH
FY2026,1412000004,5006016243,202509,636020,636020,636020,636020,0,EXACT_MATCH
FY2026,1412000004,5006016243,202510,636020,636020,636020,636020,0,EXACT_MATCH
FY2026,1412000004,5006016243,202511,636020,636020,636020,636020,0,EXACT_MATCH
FY2026,1412000004,5006016243,202512,636020,636020,636020,636020,0,EXACT_MATCH
FY2026,1412000004,5006016243,202601,636020,636020,636020,636020,0,EXACT_MATCH
FY2026,1412000004,5006016243,202602,636020,636020,636020,636020,0,EXACT_MATCH
FY2026,1412000004,5006016243,202603,636020,636020,636020,636020,0,EXACT_MATCH
FY2026,1412000004,5006016244,202504,148977856,148977856,174733220,148977856,0,EXACT_MATCH
FY2026,1412000004,5006016244,202505,143735836,143735837,169491200,143735837,1,ROUNDING_ORDER
FY2026,1412000004,5006016244,202506,137035415,137035416,162790779,137035416,1,ROUNDING_ORDER
FY2026,1412000004,5006016244,202507,136791925,136791926,162547289,136791926,1,ROUNDING_ORDER
FY2026,1412000004,5006016244,202508,136791925,136791926,162547289,136791926,1,ROUNDING_ORDER
FY2026,1412000004,5006016244,202509,136791925,136791926,162547289,136791926,1,ROUNDING_ORDER
FY2026,1412000004,5006016244,202510,136791925,136791926,162547289,136791926,1,ROUNDING_ORDER
FY2026,1412000004,5006016244,202511,136791925,136791926,162547289,136791926,1,ROUNDING_ORDER
FY2026,1412000004,5006016244,202512,136791925,136791926,162547289,136791926,1,ROUNDING_ORDER
FY2026,1412000004,5006016244,202601,136791925,136791926,162547289,136791926,1,ROUNDING_ORDER
FY2026,1412000004,5006016244,202602,135058803,135058804,160814167,135058804,1,ROUNDING_ORDER
FY2026,1412000004,5006016244,202603,133546830,133546830,159302194,133546830,0,EXACT_MATCH
FY2026,1412000004,5006016247,202504,17282719,17282719,17282719,17282719,0,EXACT_MATCH
