fy,reference_file,sheet,row,cc,fx_rate,account,kind,scope,description,monthly_values,monthly_formulas,source_candidate_status,selection_l1_delta_vnd
FY2026,reference_outputs\secondary\FY2026\01.KDTVN 機器製造1課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),42,1412000004,25390,5006016242,depreciation,fixed_assets,機械装置,"{""202504"": 213129246.0, ""202505"": 213129246.0, ""202506"": 213129246.0, ""202507"": 213129246.0, ""202508"": 213129246.0, ""202509"": 213129246.0, ""202510"": 213129246.0, ""202511"": 213129246.0, ""202512"": 213129246.0, ""202601"": 213129246.0, ""202602"": 213129246.0, ""202603"": 213129246.0}","{""202504"": ""213129246"", ""202505"": ""213129246"", ""202506"": ""213129246"", ""202507"": ""213129246"", ""202508"": ""213129246"", ""202509"": ""213129246"", ""202510"": ""213129246"", ""202511"": ""213129246"", ""202512"": ""213129246"", ""202601"": ""213129246"", ""202602"": ""213129246"", ""202603"": ""213129246""}",SELECTED_SOURCE_DERIVED_CANDIDATE,12
FY2026,reference_outputs\secondary\FY2026\01.KDTVN 機器製造1課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),43,1412000004,25390,5006016243,depreciation,fixed_assets,減価償却費（製）　車輌運搬具Mua xe nâng điện NLP (sơn),"{""202504"": 636020.0, ""202505"": 636020.0, ""202506"": 636020.0, ""202507"": 636020.0, ""202508"": 636020.0, ""202509"": 636020.0, ""202510"": 636020.0, ""202511"": 636020.0, ""202512"": 636020.0, ""202601"": 636020.0, ""202602"": 636020.0, ""202603"": 636020.0}","{""202504"": ""636020"", ""202505"": ""636020"", ""202506"": ""636020"", ""202507"": ""636020"", ""202508"": ""636020"", ""202509"": ""636020"", ""202510"": ""636020"", ""202511"": ""636020"", ""202512"": ""636020"", ""202601"": ""636020"", ""202602"": ""636020"", ""202603"": ""636020""}",SELECTED_SOURCE_DERIVED_CANDIDATE,0
FY2026,reference_outputs\secondary\FY2026\01.KDTVN 機器製造1課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),44,1412000004,25390,5006016244,depreciation,fixed_assets,工具器具備品,"{""202504"": 148977856.0, ""202505"": 143735837.0, ""202506"": 137035416.0, ""202507"": 136791926.0, ""202508"": 136791926.0, ""202509"": 136791926.0, ""202510"": 136791926.0, ""202511"": 136791926.0, ""202512"": 136791926.0, ""202601"": 136791926.0, ""202602"": 135058804.0, ""202603"": 133546830.0}","{""202504"": ""148977856"", ""202505"": ""143735837"", ""202506"": ""137035416"", ""202507"": ""136791926"", ""202508"": ""136791926"", ""202509"": ""136791926"", ""202510"": ""136791926"", ""202511"": ""136791926"", ""202512"": ""136791926"", ""202601"": ""136791926"", ""202602"": ""135058804"", ""202603"": ""133546830""}",SELECTED_SOURCE_DERIVED_CANDIDATE,10
FY2026,reference_outputs\secondary\FY2026\01.KDTVN 機器製造1課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),45,1412000004,25390,5006016247,depreciation,fixed_assets,その 他 (Tn-2),"{""202504"": 17282719.0, ""202505"": 17282719.0, ""202506"": 17282719.0, ""202507"": 17282465.0, ""202508"": 16110463.0, ""202509"": 16110463.0, ""202510"": 16110463.0, ""202511"": 16110463.0, ""202512"": 16110463.0, ""202601"": 16110463.0, ""202602"": 16110463.0, ""202603"": 16110463.0}","{""202504"": ""17282719"", ""202505"": ""17282719"", ""202506"": ""17282719"", ""202507"": ""17282465"", ""202508"": ""16110463"", ""202509"": ""16110463"", ""202510"": ""16110463"", ""202511"": ""16110463"", ""202512"": ""16110463"", ""202601"": ""16110463"", ""202602"": ""16110463"", ""202603"": ""16110463""}",SELECTED_SOURCE_DERIVED_CANDIDATE,0
FY2026,reference_outputs\secondary\FY2026\01.KDTVN 機器製造1課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),46,1412000004,25390,5006016244,depreciation,fixed_assets, （生産技術-Nakagawa),"{""202504"": null, ""202505"": null, ""202506"": null, ""202507"": null, ""202508"": null, ""202509"": null, ""202510"": null, ""202511"": null, ""202512"": null, ""202601"": null, ""202602"": null, ""202603"": null}","{""202504"": """", ""202505"": """", ""202506"": """", ""202507"": """", ""202508"": """", ""202509"": """", ""202510"": """", ""202511"": """", ""202512"": """", ""202601"": """", ""202602"": """", ""202603"": """"}",NO_MONTHLY_VALUE,
FY2026,reference_outputs\secondary\FY2026\01.KDTVN 機器製造1課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),47,1412000004,25390,5006016242,depreciation,fixed_assets, （生産技術-Nakagawa),"{""202504"": null, ""202505"": null, ""202506"": null, ""202507"": null, ""202508"": null, ""202509"": null, ""202510"": null, ""202511"": null, ""202512"": null, ""202601"": null, ""202602"": null, ""202603"": null}","{""202504"": """", ""202505"": """", ""202506"": """", ""202507"": """", ""202508"": """", ""202509"": """", ""202510"": """", ""202511"": """", ""202512"": """", ""202601"": """", ""202602"": """", ""202603"": """"}",NO_MONTHLY_VALUE,
FY2026,reference_outputs\secondary\FY2026\01.KDTVN 機器製造1課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),48,1412000004,25390,5005036246,depreciation,fixed_assets,(Tháng n)  FIX ASSETS ( Mr Hajimoto),"{""202504"": 50780000.0, ""202505"": 50780000.0, ""202506"": 50780000.0, ""202507"": 957203000.0, ""202508"": 914471630.0, ""202509"": 914471630.0, ""202510"": 1210696760.0, ""202511"": 1210696760.0, ""202512"": 1210696760.0, ""202601"": 1104896630.0, ""202602"": 1104896630.0, ""202603"": 906016760.0}","{""202504"": ""50780000"", ""202505"": ""50780000"", ""202506"": ""50780000"", ""202507"": ""957203000"", ""202508"": ""914471630"", ""202509"": ""914471630"", ""202510"": ""1210696760"", ""202511"": ""1210696760"", ""202512"": ""1210696760"", ""202601"": ""1104896630"", ""202602"": ""1104896630"", ""202603"": ""906016760""}",EXCLUDED_MANUAL_OR_OTHER_LAYER,20
FY2026,reference_outputs\secondary\FY2026\01.KDTVN 機器製造1課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),49,1412000004,25390,5005036246,depreciation,fixed_assets,(Tháng n-1) FIX ASSETS ( Mr Hajimoto),"{""202504"": 115829180.0, ""202505"": 166609180.0, ""202506"": 217389180.0, ""202507"": 268169180.0, ""202508"": 1225372180.0, ""202509"": 2139843810.0, ""202510"": 3054315440.0, ""202511"": 4265012200.0, ""202512"": 5475708960.0, ""202601"": 6686405720.0, ""202602"": 7791302350.0, ""202603"": 8896198980.0}","{""202504"": ""=4562*25390"", ""202505"": ""=+F48+F49"", ""202506"": ""=+G48+G49"", ""202507"": ""=+H48+H49"", ""202508"": ""=+I48+I49"", ""202509"": ""=+J48+J49"", ""202510"": ""=+K48+K49"", ""202511"": ""=+L48+L49"", ""202512"": ""=+M48+M49"", ""202601"": ""=+N48+N49"", ""202602"": ""=+O48+O49"", ""202603"": ""=+P48+P49""}",EXCLUDED_MANUAL_OR_OTHER_LAYER,20
FY2026,reference_outputs\secondary\FY2026\01.KDTVN 機器製造1課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),50,1412000004,25390,5005036246,depreciation,fixed_assets,(Tháng n-2) 金型償却費 ,"{""202504"": 1522161730.0, ""202505"": 1478401557.0, ""202506"": 1355417729.0, ""202507"": 1165129581.0, ""202508"": 979132343.0, ""202509"": 726083670.0, ""202510"": 610355034.0, ""202511"": 490863347.0, ""202512"": 441828909.0, ""202601"": 410091409.0, ""202602"": 266223290.0, ""202603"": 253094375.0}","{""202504"": ""1522161730"", ""202505"": ""1478401557"", ""202506"": ""1355417729"", ""202507"": ""1165129581"", ""202508"": ""979132343"", ""202509"": ""726083670"", ""202510"": ""610355034"", ""202511"": ""490863347"", ""202512"": ""441828909"", ""202601"": ""410091409"", ""202602"": ""266223290"", ""202603"": ""253094375""}",SELECTED_SOURCE_DERIVED_CANDIDATE,20
FY2026,reference_outputs\secondary\FY2026\01.KDTVN 機器製造1課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),52,1412000004,25390,9114120007,interest,fixed_assets,機械装置金利,"{""202504"": 51073001.0, ""202505"": 43400143.0, ""202506"": 43400143.0, ""202507"": 43400143.0, ""202508"": 43400143.0, ""202509"": 43400143.0, ""202510"": 43400143.0, ""202511"": 43400143.0, ""202512"": 43400143.0, ""202601"": 43400143.0, ""202602"": 43400143.0, ""202603"": 43400143.0}","{""202504"": ""51073001"", ""202505"": ""43400143"", ""202506"": ""43400143"", ""202507"": ""43400143"", ""202508"": ""43400143"", ""202509"": ""43400143"", ""202510"": ""43400143"", ""202511"": ""43400143"", ""202512"": ""43400143"", ""202601"": ""43400143"", ""202602"": ""43400143"", ""202603"": ""43400143""}",SELECTED_SOURCE_DERIVED_CANDIDATE,32
FY2026,reference_outputs\secondary\FY2026\01.KDTVN 機器製造1課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),53,1412000004,25390,9114120007,interest,fixed_assets,減価償却費（製）　車輌運搬具Mua xe nâng điện NLP (sơn),"{""202504"": 103591.0, ""202505"": 80740.0, ""202506"": 80740.0, ""202507"": 80740.0, ""202508"": 80740.0, ""202509"": 80740.0, ""202510"": 80740.0, ""202511"": 80740.0, ""202512"": 80740.0, ""202601"": 80740.0, ""202602"": 80740.0, ""202603"": 80740.0}","{""202504"": ""103591"", ""202505"": ""80740"", ""202506"": ""80740"", ""202507"": ""80740"", ""202508"": ""80740"", ""202509"": ""80740"", ""202510"": ""80740"", ""202511"": ""80740"", ""202512"": ""80740"", ""202601"": ""80740"", ""202602"": ""80740"", ""202603"": ""80740""}",SELECTED_SOURCE_DERIVED_CANDIDATE,32
FY2026,reference_outputs\secondary\FY2026\01.KDTVN 機器製造1課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),54,1412000004,25390,9114120007,interest,fixed_assets,金型金利 (N-2),"{""202504"": 83895923.0, ""202505"": 34057130.0, ""202506"": 33318789.0, ""202507"": 31605726.0, ""202508"": 29373691.0, ""202509"": 25577886.0, ""202510"": 23494129.0, ""202511"": 20985089.0, ""202512"": 19808262.0, ""202601"": 18951096.0, ""202602"": 14634796.0, ""202603"": 14201643.0}","{""202504"": ""83895923"", ""202505"": ""34057130"", ""202506"": ""33318789"", ""202507"": ""31605726"", ""202508"": ""29373691"", ""202509"": ""25577886"", ""202510"": ""23494129"", ""202511"": ""20985089"", ""202512"": ""19808262"", ""202601"": ""18951096"", ""202602"": ""14634796"", ""202603"": ""14201643""}",SELECTED_SOURCE_DERIVED_CANDIDATE,32
FY2026,reference_outputs\secondary\FY2026\01.KDTVN 機器製造1課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),55,1412000004,25390,9114120007,interest,fixed_assets,工具器具備品 金利,"{""202504"": 13676070.0, ""202505"": 8509966.0, ""202506"": 8493463.0, ""202507"": 8452331.0, ""202508"": 8452331.0, ""202509"": 8452331.0, ""202510"": 8452331.0, ""202511"": 8452331.0, ""202512"": 8452331.0, ""202601"": 8452331.0, ""202602"": 8452331.0, ""202603"": 8398250.0}","{""202504"": ""13676070"", ""202505"": ""8509966"", ""202506"": ""8493463"", ""202507"": ""8452331"", ""202508"": ""8452331"", ""202509"": ""8452331"", ""202510"": ""8452331"", ""202511"": ""8452331"", ""202512"": ""8452331"", ""202601"": ""8452331"", ""202602"": ""8452331"", ""202603"": ""8398250""}",SELECTED_SOURCE_DERIVED_CANDIDATE,32
FY2026,reference_outputs\secondary\FY2026\01.KDTVN 機器製造1課_MP FY2026_各予定(Ver01).xlsx,内訳ﾘｽﾄ(4～3月),56,1412000004,25390,9114120007,interest,fixed_assets,その他金利,"{""202504"": 2038055.0, ""202505"": 1415493.0, ""202506"": 1415493.0, ""202507"": 1415493.0, ""202508"": 1401528.0, ""202509"": 1401528.0, ""202510"": 1401528.0, ""202511"": 1401528.0, ""202512"": 1401528.0, ""202601"": 1401528.0, ""202602"": 1401528.0, ""202603"": 1401528.0}","{""202504"": ""2038055"", ""202505"": ""1415493"", ""202506"": ""1415493"", ""202507"": ""1415493"", ""202508"": ""1401528"", ""202509"": ""1401528"", ""202510"": ""1401528"", ""202511"": ""1401528"", ""202512"": ""1401528"", ""202601"": ""1401528"", ""202602"": ""1401528"", ""202603"": ""1401528""}",SELECTED_SOURCE_DERIVED_CANDIDATE,32
