fy,cc,account,period,expected_per_asset_round_vnd,reference_actual_vnd,delta_reference_minus_expected_vnd,reference_formula_kind,source_asset_count_in_group,source_asset_evidence,reference_evidence,evidence_classification,decision_status,allowed_action,classification_reason
FY2026,1412000018,5006016242,202504,98428651,98428397,-254,EMBEDDED_USD_SNAPSHOT_FORMULA,2,"[{""L_monthly_depr_usd"": 752, ""P_terminal_period"": ""202601"", ""Q_terminal_depr_usd"": 752, ""V_apr_interest_usd"": 49, ""W_may_interest_usd"": 22, ""asset_no"": ""140000207"", ""asset_text"": ""Temperature/Humidity Chamber PL-4J.NO.2"", ""row"": 42, ""scheduled_usd_for_period"": 752.67, ""sheet"": ""2024.12"", ""source_file"": ""docs\\MP2026\\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx"", ""terminal_relation"": ""within_fy""}, {""L_monthly_depr_usd"": 3124, ""P_terminal_period"": ""202802"", ""Q_terminal_depr_usd"": 1584, ""V_apr_interest_usd"": 435, ""W_may_interest_usd"": 323, ""asset_no"": ""140000208"", ""asset_text"": ""Chamber EBL- 6E20W0PZ2T-38"", ""row"": 43, ""scheduled_usd_for_period"": 3124.0, ""sheet"": ""2024.12"", ""source_file"": ""docs\\MP2026\\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx"", ""terminal_relation"": ""after_fy""}]","[{""description"": ""恒温恒湿槽 Buong on dinh nhiet do, do am 2021/02                                          2026"", ""formula"": ""=ROUND(V123*$B$2,0)"", ""reference_file"": ""reference_outputs\\secondary\\FY2026\\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx"", ""row"": 123, ""sheet"": ""内訳ﾘｽﾄ(4～3月)"", ""value_vnd"": 19110037}, {""description"": ""環境試験室 Buong thi nghiem moi truong 2021/02                                            2028"", ""formula"": ""=ROUND(V124*$B$2,0)"", ""reference_file"": ""reference_outputs\\secondary\\FY2026\\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx"", ""row"": 124, ""sheet"": ""内訳ﾘｽﾄ(4～3月)"", ""value_vnd"": 79318360}]",REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,MAU_THUAN_CAN_NGHIEP_VU_DUYET,REQUIRE_BUSINESS_DECISION_BEFORE_ACCOUNTING_CHANGE,"Selected reference formula(s) use embedded USD terms times $B$2, not a source-ledger link. The source snapshot and reference snapshot disagree, but neither may be overwritten automatically."
FY2026,1412000018,5006016242,202505,98428651,98428397,-254,EMBEDDED_USD_SNAPSHOT_FORMULA,2,"[{""L_monthly_depr_usd"": 752, ""P_terminal_period"": ""202601"", ""Q_terminal_depr_usd"": 752, ""V_apr_interest_usd"": 49, ""W_may_interest_usd"": 22, ""asset_no"": ""140000207"", ""asset_text"": ""Temperature/Humidity Chamber PL-4J.NO.2"", ""row"": 42, ""scheduled_usd_for_period"": 752.67, ""sheet"": ""2024.12"", ""source_file"": ""docs\\MP2026\\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx"", ""terminal_relation"": ""within_fy""}, {""L_monthly_depr_usd"": 3124, ""P_terminal_period"": ""202802"", ""Q_terminal_depr_usd"": 1584, ""V_apr_interest_usd"": 435, ""W_may_interest_usd"": 323, ""asset_no"": ""140000208"", ""asset_text"": ""Chamber EBL- 6E20W0PZ2T-38"", ""row"": 43, ""scheduled_usd_for_period"": 3124.0, ""sheet"": ""2024.12"", ""source_file"": ""docs\\MP2026\\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx"", ""terminal_relation"": ""after_fy""}]","[{""description"": ""恒温恒湿槽 Buong on dinh nhiet do, do am 2021/02                                          2026"", ""formula"": ""=ROUND(W123*$B$2,0)"", ""reference_file"": ""reference_outputs\\secondary\\FY2026\\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx"", ""row"": 123, ""sheet"": ""内訳ﾘｽﾄ(4～3月)"", ""value_vnd"": 19110037}, {""description"": ""環境試験室 Buong thi nghiem moi truong 2021/02                                            2028"", ""formula"": ""=ROUND(W124*$B$2,0)"", ""reference_file"": ""reference_outputs\\secondary\\FY2026\\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx"", ""row"": 124, ""sheet"": ""内訳ﾘｽﾄ(4～3月)"", ""value_vnd"": 79318360}]",REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,MAU_THUAN_CAN_NGHIEP_VU_DUYET,REQUIRE_BUSINESS_DECISION_BEFORE_ACCOUNTING_CHANGE,"Selected reference formula(s) use embedded USD terms times $B$2, not a source-ledger link. The source snapshot and reference snapshot disagree, but neither may be overwritten automatically."
FY2026,1412000018,5006016242,202506,98428651,98428397,-254,EMBEDDED_USD_SNAPSHOT_FORMULA,2,"[{""L_monthly_depr_usd"": 752, ""P_terminal_period"": ""202601"", ""Q_terminal_depr_usd"": 752, ""V_apr_interest_usd"": 49, ""W_may_interest_usd"": 22, ""asset_no"": ""140000207"", ""asset_text"": ""Temperature/Humidity Chamber PL-4J.NO.2"", ""row"": 42, ""scheduled_usd_for_period"": 752.67, ""sheet"": ""2024.12"", ""source_file"": ""docs\\MP2026\\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx"", ""terminal_relation"": ""within_fy""}, {""L_monthly_depr_usd"": 3124, ""P_terminal_period"": ""202802"", ""Q_terminal_depr_usd"": 1584, ""V_apr_interest_usd"": 435, ""W_may_interest_usd"": 323, ""asset_no"": ""140000208"", ""asset_text"": ""Chamber EBL- 6E20W0PZ2T-38"", ""row"": 43, ""scheduled_usd_for_period"": 3124.0, ""sheet"": ""2024.12"", ""source_file"": ""docs\\MP2026\\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx"", ""terminal_relation"": ""after_fy""}]","[{""description"": ""恒温恒湿槽 Buong on dinh nhiet do, do am 2021/02                                          2026"", ""formula"": ""=ROUND(X123*$B$2,0)"", ""reference_file"": ""reference_outputs\\secondary\\FY2026\\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx"", ""row"": 123, ""sheet"": ""内訳ﾘｽﾄ(4～3月)"", ""value_vnd"": 19110037}, {""description"": ""環境試験室 Buong thi nghiem moi truong 2021/02                                            2028"", ""formula"": ""=ROUND(X124*$B$2,0)"", ""reference_file"": ""reference_outputs\\secondary\\FY2026\\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx"", ""row"": 124, ""sheet"": ""内訳ﾘｽﾄ(4～3月)"", ""value_vnd"": 79318360}]",REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,MAU_THUAN_CAN_NGHIEP_VU_DUYET,REQUIRE_BUSINESS_DECISION_BEFORE_ACCOUNTING_CHANGE,"Selected reference formula(s) use embedded USD terms times $B$2, not a source-ledger link. The source snapshot and reference snapshot disagree, but neither may be overwritten automatically."
FY2026,1412000018,5006016242,202507,98428651,98428397,-254,EMBEDDED_USD_SNAPSHOT_FORMULA,2,"[{""L_monthly_depr_usd"": 752, ""P_terminal_period"": ""202601"", ""Q_terminal_depr_usd"": 752, ""V_apr_interest_usd"": 49, ""W_may_interest_usd"": 22, ""asset_no"": ""140000207"", ""asset_text"": ""Temperature/Humidity Chamber PL-4J.NO.2"", ""row"": 42, ""scheduled_usd_for_period"": 752.67, ""sheet"": ""2024.12"", ""source_file"": ""docs\\MP2026\\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx"", ""terminal_relation"": ""within_fy""}, {""L_monthly_depr_usd"": 3124, ""P_terminal_period"": ""202802"", ""Q_terminal_depr_usd"": 1584, ""V_apr_interest_usd"": 435, ""W_may_interest_usd"": 323, ""asset_no"": ""140000208"", ""asset_text"": ""Chamber EBL- 6E20W0PZ2T-38"", ""row"": 43, ""scheduled_usd_for_period"": 3124.0, ""sheet"": ""2024.12"", ""source_file"": ""docs\\MP2026\\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx"", ""terminal_relation"": ""after_fy""}]","[{""description"": ""恒温恒湿槽 Buong on dinh nhiet do, do am 2021/02                                          2026"", ""formula"": ""=ROUND(Y123*$B$2,0)"", ""reference_file"": ""reference_outputs\\secondary\\FY2026\\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx"", ""row"": 123, ""sheet"": ""内訳ﾘｽﾄ(4～3月)"", ""value_vnd"": 19110037}, {""description"": ""環境試験室 Buong thi nghiem moi truong 2021/02                                            2028"", ""formula"": ""=ROUND(Y124*$B$2,0)"", ""reference_file"": ""reference_outputs\\secondary\\FY2026\\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx"", ""row"": 124, ""sheet"": ""内訳ﾘｽﾄ(4～3月)"", ""value_vnd"": 79318360}]",REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,MAU_THUAN_CAN_NGHIEP_VU_DUYET,REQUIRE_BUSINESS_DECISION_BEFORE_ACCOUNTING_CHANGE,"Selected reference formula(s) use embedded USD terms times $B$2, not a source-ledger link. The source snapshot and reference snapshot disagree, but neither may be overwritten automatically."
FY2026,1412000018,5006016242,202508,98428651,98428397,-254,EMBEDDED_USD_SNAPSHOT_FORMULA,2,"[{""L_monthly_depr_usd"": 752, ""P_terminal_period"": ""202601"", ""Q_terminal_depr_usd"": 752, ""V_apr_interest_usd"": 49, ""W_may_interest_usd"": 22, ""asset_no"": ""140000207"", ""asset_text"": ""Temperature/Humidity Chamber PL-4J.NO.2"", ""row"": 42, ""scheduled_usd_for_period"": 752.67, ""sheet"": ""2024.12"", ""source_file"": ""docs\\MP2026\\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx"", ""terminal_relation"": ""within_fy""}, {""L_monthly_depr_usd"": 3124, ""P_terminal_period"": ""202802"", ""Q_terminal_depr_usd"": 1584, ""V_apr_interest_usd"": 435, ""W_may_interest_usd"": 323, ""asset_no"": ""140000208"", ""asset_text"": ""Chamber EBL- 6E20W0PZ2T-38"", ""row"": 43, ""scheduled_usd_for_period"": 3124.0, ""sheet"": ""2024.12"", ""source_file"": ""docs\\MP2026\\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx"", ""terminal_relation"": ""after_fy""}]","[{""description"": ""恒温恒湿槽 Buong on dinh nhiet do, do am 2021/02                                          2026"", ""formula"": ""=ROUND(Z123*$B$2,0)"", ""reference_file"": ""reference_outputs\\secondary\\FY2026\\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx"", ""row"": 123, ""sheet"": ""内訳ﾘｽﾄ(4～3月)"", ""value_vnd"": 19110037}, {""description"": ""環境試験室 Buong thi nghiem moi truong 2021/02                                            2028"", ""formula"": ""=ROUND(Z124*$B$2,0)"", ""reference_file"": ""reference_outputs\\secondary\\FY2026\\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx"", ""row"": 124, ""sheet"": ""内訳ﾘｽﾄ(4～3月)"", ""value_vnd"": 79318360}]",REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,MAU_THUAN_CAN_NGHIEP_VU_DUYET,REQUIRE_BUSINESS_DECISION_BEFORE_ACCOUNTING_CHANGE,"Selected reference formula(s) use embedded USD terms times $B$2, not a source-ledger link. The source snapshot and reference snapshot disagree, but neither may be overwritten automatically."
FY2026,1412000018,5006016242,202509,98428651,98428397,-254,EMBEDDED_USD_SNAPSHOT_FORMULA,2,"[{""L_monthly_depr_usd"": 752, ""P_terminal_period"": ""202601"", ""Q_terminal_depr_usd"": 752, ""V_apr_interest_usd"": 49, ""W_may_interest_usd"": 22, ""asset_no"": ""140000207"", ""asset_text"": ""Temperature/Humidity Chamber PL-4J.NO.2"", ""row"": 42, ""scheduled_usd_for_period"": 752.67, ""sheet"": ""2024.12"", ""source_file"": ""docs\\MP2026\\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx"", ""terminal_relation"": ""within_fy""}, {""L_monthly_depr_usd"": 3124, ""P_terminal_period"": ""202802"", ""Q_terminal_depr_usd"": 1584, ""V_apr_interest_usd"": 435, ""W_may_interest_usd"": 323, ""asset_no"": ""140000208"", ""asset_text"": ""Chamber EBL- 6E20W0PZ2T-38"", ""row"": 43, ""scheduled_usd_for_period"": 3124.0, ""sheet"": ""2024.12"", ""source_file"": ""docs\\MP2026\\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx"", ""terminal_relation"": ""after_fy""}]","[{""description"": ""恒温恒湿槽 Buong on dinh nhiet do, do am 2021/02                                          2026"", ""formula"": ""=ROUND(AA123*$B$2,0)"", ""reference_file"": ""reference_outputs\\secondary\\FY2026\\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx"", ""row"": 123, ""sheet"": ""内訳ﾘｽﾄ(4～3月)"", ""value_vnd"": 19110037}, {""description"": ""環境試験室 Buong thi nghiem moi truong 2021/02                                            2028"", ""formula"": ""=ROUND(AA124*$B$2,0)"", ""reference_file"": ""reference_outputs\\secondary\\FY2026\\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx"", ""row"": 124, ""sheet"": ""内訳ﾘｽﾄ(4～3月)"", ""value_vnd"": 79318360}]",REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,MAU_THUAN_CAN_NGHIEP_VU_DUYET,REQUIRE_BUSINESS_DECISION_BEFORE_ACCOUNTING_CHANGE,"Selected reference formula(s) use embedded USD terms times $B$2, not a source-ledger link. The source snapshot and reference snapshot disagree, but neither may be overwritten automatically."
FY2026,1412000018,5006016242,202510,98428651,98428397,-254,EMBEDDED_USD_SNAPSHOT_FORMULA,2,"[{""L_monthly_depr_usd"": 752, ""P_terminal_period"": ""202601"", ""Q_terminal_depr_usd"": 752, ""V_apr_interest_usd"": 49, ""W_may_interest_usd"": 22, ""asset_no"": ""140000207"", ""asset_text"": ""Temperature/Humidity Chamber PL-4J.NO.2"", ""row"": 42, ""scheduled_usd_for_period"": 752.67, ""sheet"": ""2024.12"", ""source_file"": ""docs\\MP2026\\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx"", ""terminal_relation"": ""within_fy""}, {""L_monthly_depr_usd"": 3124, ""P_terminal_period"": ""202802"", ""Q_terminal_depr_usd"": 1584, ""V_apr_interest_usd"": 435, ""W_may_interest_usd"": 323, ""asset_no"": ""140000208"", ""asset_text"": ""Chamber EBL- 6E20W0PZ2T-38"", ""row"": 43, ""scheduled_usd_for_period"": 3124.0, ""sheet"": ""2024.12"", ""source_file"": ""docs\\MP2026\\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx"", ""terminal_relation"": ""after_fy""}]","[{""description"": ""恒温恒湿槽 Buong on dinh nhiet do, do am 2021/02                                          2026"", ""formula"": ""=ROUND(AB123*$B$2,0)"", ""reference_file"": ""reference_outputs\\secondary\\FY2026\\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx"", ""row"": 123, ""sheet"": ""内訳ﾘｽﾄ(4～3月)"", ""value_vnd"": 19110037}, {""description"": ""環境試験室 Buong thi nghiem moi truong 2021/02                                            2028"", ""formula"": ""=ROUND(AB124*$B$2,0)"", ""reference_file"": ""reference_outputs\\secondary\\FY2026\\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx"", ""row"": 124, ""sheet"": ""内訳ﾘｽﾄ(4～3月)"", ""value_vnd"": 79318360}]",REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,MAU_THUAN_CAN_NGHIEP_VU_DUYET,REQUIRE_BUSINESS_DECISION_BEFORE_ACCOUNTING_CHANGE,"Selected reference formula(s) use embedded USD terms times $B$2, not a source-ledger link. The source snapshot and reference snapshot disagree, but neither may be overwritten automatically."
FY2026,1412000018,5006016242,202511,98428651,98428397,-254,EMBEDDED_USD_SNAPSHOT_FORMULA,2,"[{""L_monthly_depr_usd"": 752, ""P_terminal_period"": ""202601"", ""Q_terminal_depr_usd"": 752, ""V_apr_interest_usd"": 49, ""W_may_interest_usd"": 22, ""asset_no"": ""140000207"", ""asset_text"": ""Temperature/Humidity Chamber PL-4J.NO.2"", ""row"": 42, ""scheduled_usd_for_period"": 752.67, ""sheet"": ""2024.12"", ""source_file"": ""docs\\MP2026\\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx"", ""terminal_relation"": ""within_fy""}, {""L_monthly_depr_usd"": 3124, ""P_terminal_period"": ""202802"", ""Q_terminal_depr_usd"": 1584, ""V_apr_interest_usd"": 435, ""W_may_interest_usd"": 323, ""asset_no"": ""140000208"", ""asset_text"": ""Chamber EBL- 6E20W0PZ2T-38"", ""row"": 43, ""scheduled_usd_for_period"": 3124.0, ""sheet"": ""2024.12"", ""source_file"": ""docs\\MP2026\\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx"", ""terminal_relation"": ""after_fy""}]","[{""description"": ""恒温恒湿槽 Buong on dinh nhiet do, do am 2021/02                                          2026"", ""formula"": ""=ROUND(AC123*$B$2,0)"", ""reference_file"": ""reference_outputs\\secondary\\FY2026\\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx"", ""row"": 123, ""sheet"": ""内訳ﾘｽﾄ(4～3月)"", ""value_vnd"": 19110037}, {""description"": ""環境試験室 Buong thi nghiem moi truong 2021/02                                            2028"", ""formula"": ""=ROUND(AC124*$B$2,0)"", ""reference_file"": ""reference_outputs\\secondary\\FY2026\\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx"", ""row"": 124, ""sheet"": ""内訳ﾘｽﾄ(4～3月)"", ""value_vnd"": 79318360}]",REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,MAU_THUAN_CAN_NGHIEP_VU_DUYET,REQUIRE_BUSINESS_DECISION_BEFORE_ACCOUNTING_CHANGE,"Selected reference formula(s) use embedded USD terms times $B$2, not a source-ledger link. The source snapshot and reference snapshot disagree, but neither may be overwritten automatically."
FY2026,1412000018,5006016242,202512,98428651,98428397,-254,EMBEDDED_USD_SNAPSHOT_FORMULA,2,"[{""L_monthly_depr_usd"": 752, ""P_terminal_period"": ""202601"", ""Q_terminal_depr_usd"": 752, ""V_apr_interest_usd"": 49, ""W_may_interest_usd"": 22, ""asset_no"": ""140000207"", ""asset_text"": ""Temperature/Humidity Chamber PL-4J.NO.2"", ""row"": 42, ""scheduled_usd_for_period"": 752.67, ""sheet"": ""2024.12"", ""source_file"": ""docs\\MP2026\\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx"", ""terminal_relation"": ""within_fy""}, {""L_monthly_depr_usd"": 3124, ""P_terminal_period"": ""202802"", ""Q_terminal_depr_usd"": 1584, ""V_apr_interest_usd"": 435, ""W_may_interest_usd"": 323, ""asset_no"": ""140000208"", ""asset_text"": ""Chamber EBL- 6E20W0PZ2T-38"", ""row"": 43, ""scheduled_usd_for_period"": 3124.0, ""sheet"": ""2024.12"", ""source_file"": ""docs\\MP2026\\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx"", ""terminal_relation"": ""after_fy""}]","[{""description"": ""恒温恒湿槽 Buong on dinh nhiet do, do am 2021/02                                          2026"", ""formula"": ""=ROUND(AD123*$B$2,0)"", ""reference_file"": ""reference_outputs\\secondary\\FY2026\\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx"", ""row"": 123, ""sheet"": ""内訳ﾘｽﾄ(4～3月)"", ""value_vnd"": 19110037}, {""description"": ""環境試験室 Buong thi nghiem moi truong 2021/02                                            2028"", ""formula"": ""=ROUND(AD124*$B$2,0)"", ""reference_file"": ""reference_outputs\\secondary\\FY2026\\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx"", ""row"": 124, ""sheet"": ""内訳ﾘｽﾄ(4～3月)"", ""value_vnd"": 79318360}]",REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,MAU_THUAN_CAN_NGHIEP_VU_DUYET,REQUIRE_BUSINESS_DECISION_BEFORE_ACCOUNTING_CHANGE,"Selected reference formula(s) use embedded USD terms times $B$2, not a source-ledger link. The source snapshot and reference snapshot disagree, but neither may be overwritten automatically."
FY2026,1412000018,5006016242,202601,98428651,98428397,-254,EMBEDDED_USD_SNAPSHOT_FORMULA,2,"[{""L_monthly_depr_usd"": 752, ""P_terminal_period"": ""202601"", ""Q_terminal_depr_usd"": 752, ""V_apr_interest_usd"": 49, ""W_may_interest_usd"": 22, ""asset_no"": ""140000207"", ""asset_text"": ""Temperature/Humidity Chamber PL-4J.NO.2"", ""row"": 42, ""scheduled_usd_for_period"": 752.67, ""sheet"": ""2024.12"", ""source_file"": ""docs\\MP2026\\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx"", ""terminal_relation"": ""within_fy""}, {""L_monthly_depr_usd"": 3124, ""P_terminal_period"": ""202802"", ""Q_terminal_depr_usd"": 1584, ""V_apr_interest_usd"": 435, ""W_may_interest_usd"": 323, ""asset_no"": ""140000208"", ""asset_text"": ""Chamber EBL- 6E20W0PZ2T-38"", ""row"": 43, ""scheduled_usd_for_period"": 3124.0, ""sheet"": ""2024.12"", ""source_file"": ""docs\\MP2026\\固定資産情報_Fixed_Assets_Information_2024.12 - December.xlsx"", ""terminal_relation"": ""after_fy""}]","[{""description"": ""恒温恒湿槽 Buong on dinh nhiet do, do am 2021/02                                          2026"", ""formula"": ""=ROUND(AE123*$B$2,0)"", ""reference_file"": ""reference_outputs\\secondary\\FY2026\\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx"", ""row"": 123, ""sheet"": ""内訳ﾘｽﾄ(4～3月)"", ""value_vnd"": 19110037}, {""description"": ""環境試験室 Buong thi nghiem moi truong 2021/02                                            2028"", ""formula"": ""=ROUND(AE124*$B$2,0)"", ""reference_file"": ""reference_outputs\\secondary\\FY2026\\24.KDTVN 品質保証課_MP FY2026_各予定(Ver01).xlsx"", ""row"": 124, ""sheet"": ""内訳ﾘｽﾄ(4～3月)"", ""value_vnd"": 79318360}]",REFERENCE_EMBEDDED_USD_SNAPSHOT_FORMULA,MAU_THUAN_CAN_NGHIEP_VU_DUYET,REQUIRE_BUSINESS_DECISION_BEFORE_ACCOUNTING_CHANGE,"Selected reference formula(s) use embedded USD terms times $B$2, not a source-ledger link. The source snapshot and reference snapshot disagree, but neither may be overwritten automatically."
