cc_code,file,row,kind,category,account_code,description,reference_fx,formulas,values_vnd
1412000004,01.KDTVN 機器製造1課　_MP FY2027_各予定(Ver01).xlsx,133,interest,,9114120007,固定資産金利 (建物+土地),26273.0,"[249671268, 236812999, 232187112, 236280445, 241724211, 241721058, 236257588, 239553273, 240079521, 242989781, 256300209, 239246142]","[249671268.0, 236812999.0, 232187112.0, 236280445.0, 241724211.0, 241721058.0, 236257588.0, 239553273.0, 240079521.0, 242989781.0, 256300209.0, 239246142.0]"
1412000005,02.KDTVN 機器製造２課　_MP FY2027_各予定(Ver01).xlsx,130,interest,,9114120007,固定資産金利 (建物+土地),26273.0,"[338865213, 322905154, 323958176, 324324947, 323599549, 323698598, 323367821, 322842099, 320790965, 322270924, 327317704, 321465919]","[338865213.0, 322905154.0, 323958176.0, 324324947.0, 323599549.0, 323698598.0, 323367821.0, 322842099.0, 320790965.0, 322270924.0, 327317704.0, 321465919.0]"
1412000062,03.KDTVN 機器製造管理課_MP FY2027_各予定(Ver01).xlsx,42,interest,,9114120007,固定資産金利 建物,,"[4129327, 3989818, 4233631, 3990606, 3823510, 3890769, 4005319, 3956714, 3925712, 3805119, 3519268, 3898388]","[4129327.0, 3989818.0, 4233631.0, 3990606.0, 3823510.0, 3890769.0, 4005319.0, 3956714.0, 3925712.0, 3805119.0, 3519268.0, 3898388.0]"
1412000062,03.KDTVN 機器製造管理課_MP FY2027_各予定(Ver01).xlsx,43,interest,,9114120007,固定資産金利 土地,,"[523621, 519943, 551733, 519943, 498136, 507069, 522045, 515476, 511535, 495772, 458727, 508120]","[523621.0, 519943.0, 551733.0, 519943.0, 498136.0, 507069.0, 522045.0, 515476.0, 511535.0, 495772.0, 458727.0, 508120.0]"
1412000034,04.KDTVN トナー製造課_MP FY2027_各予定(Ver01).xlsx,38,interest,,9114120007, 固定資材金利 (T11/2026) Lãi suất TSCĐ,26273.0,"[""=ROUND($B$2*(3235.83-41.16-145.62-16.78),0)"", ""=ROUND($B$2*2100.37,0)"", ""=ROUND($B$2*2099.14,0)"", ""=ROUND($B$2*2098.5,0)"", ""=ROUND($B$2*2084.1,0)"", ""=ROUND($B$2*2068.51,0)"", ""=ROUND($B$2*2066.76,0)"", ""=ROUND($B$2*2065.72,0)"", ""=ROUND($B$2*2059.02,0)"", ""=ROUND($B$2*2051.99,0)"", ""=ROUND($B$2*2044.96,0)"", ""=ROUND($B$2*2037.93,0)""]","[79666830.0, 55183021.0, 55150705.0, 55133891.0, 54755559.0, 54345963.0, 54299985.0, 54272662.0, 54096632.0, 53911933.0, 53727234.0, 53542535.0]"
1412000034,04.KDTVN トナー製造課_MP FY2027_各予定(Ver01).xlsx,54,interest,,9114120007,建物金利Lãi suất nhà xưởng (T5/2019~)　,26273.0,"[""=ROUND(6180.47*$B$2,0)"", ""=ROUND($B$2*5868.57,0)"", ""=ROUND($B$2*5949.28,0)"", ""=ROUND($B$2*5872.83,0)"", ""=ROUND($B$2*5835.32,0)"", ""=ROUND($B$2*5858.63,0)"", ""=ROUND($B$2*5947.58,0)"", ""=ROUND($B$2*5929.29,0)"", ""=ROUND($B$2*5917.57,0)"", ""=ROUND($B$2*5872.09,0)"", ""=ROUND($B$2*5764.43,0)"", ""=ROUND($B$2*5907.29,0)""]","[162379488.0, 154184940.0, 156305433.0, 154296863.0, 153311362.0, 153923786.0, 156260769.0, 155780236.0, 155472317.0, 154277421.0, 151448869.0, 155202230.0]"
1412000034,04.KDTVN トナー製造課_MP FY2027_各予定(Ver01).xlsx,55,interest,,9114120007,土地金利Lãi suất đất (T5/2019~),26273.0,"[""=ROUND(783.62*$B$2,0)"", ""=ROUND($B$2*764.72,0)"", ""=ROUND($B$2*775.24,0)"", ""=ROUND($B$2*765.28,0)"", ""=ROUND($B$2*760.39,0)"", ""=ROUND($B$2*763.43,0)"", ""=ROUND($B$2*775.02,0)"", ""=ROUND($B$2*772.63,0)"", ""=ROUND($B$2*771.11,0)"", ""=ROUND($B$2*765.18,0)"", ""=ROUND($B$2*751.15,0)"", ""=ROUND($B$2*769.77,0)""]","[20588048.0, 20091489.0, 20367881.0, 20106201.0, 19977726.0, 20057596.0, 20362100.0, 20299308.0, 20259373.0, 20103574.0, 19734964.0, 20224167.0]"
1412000048,05.KDTVN トナー生産技術課_MP FY2027_各予定(Ver01).xlsx,43,interest,,9114120007,Lãi suất nhà xưởng  建物金利,26273.0,"[""=ROUND(194.96*$B$2,0)"", ""=ROUND(186.84*$B$2,0)"", ""=ROUND(194.26*$B$2,0)"", ""=ROUND(186.86*$B$2,0)"", ""=ROUND(181.77*$B$2,0)"", ""=ROUND(183.82*$B$2,0)"", ""=ROUND(187.31*$B$2,0)"", ""=ROUND(185.83*$B$2,0)"", ""=ROUND(184.89*$B$2,0)"", ""=ROUND(181.21*$B$2,0)"", ""=ROUND(172.51*$B$2,0)"", ""=ROUND(184.06*$B$2,0)""]","[5122184.0, 4908847.0, 5103793.0, 4909373.0, 4775643.0, 4829503.0, 4921196.0, 4882312.0, 4857615.0, 4760930.0, 4532355.0, 4835808.0]"
1412000048,05.KDTVN トナー生産技術課_MP FY2027_各予定(Ver01).xlsx,44,interest,,9114120007,Lãi suất đất 土地金利,26273.0,"[""=ROUND(24.72*$B$2,0)"", ""=ROUND(24.35*$B$2,0)"", ""=ROUND(25.31*$B$2,0)"", ""=ROUND(24.35*$B$2,0)"", ""=ROUND(23.69*$B$2,0)"", ""=ROUND(23.95*$B$2,0)"", ""=ROUND(24.41*$B$2,0)"", ""=ROUND(24.22*$B$2,0)"", ""=ROUND(24.09*$B$2,0)"", ""=ROUND(23.61*$B$2,0)"", ""=ROUND(22.48*$B$2,0)"", ""=ROUND(23.98*$B$2,0)""]","[649469.0, 639748.0, 664970.0, 639748.0, 622407.0, 629238.0, 641324.0, 636332.0, 632917.0, 620306.0, 590617.0, 630027.0]"
1412000055,06.KDTVN トナー品質管理課　_MP FY2027_各予定(Ver01).xlsx,43,interest,,9114120007,Lãi suất nhà xưởng  建物金利,26273.0,"[""=ROUND(130*$B$2,0)"", ""=ROUND(125.4*$B$2,0)"", ""=ROUND(132.51*$B$2,0)"", ""=ROUND(125.42*$B$2,0)"", ""=ROUND(122.37*$B$2,0)"", ""=ROUND(124.41*$B$2,0)"", ""=ROUND(127.9*$B$2,0)"", ""=ROUND(126.43*$B$2,0)"", ""=ROUND(125.48*$B$2,0)"", ""=ROUND(121.8*$B$2,0)"", ""=ROUND(113.1*$B$2,0)"", ""=ROUND(124.65*$B$2,0)""]","[3415490.0, 3294634.0, 3481435.0, 3295160.0, 3215027.0, 3268624.0, 3360317.0, 3321695.0, 3296736.0, 3200051.0, 2971476.0, 3274929.0]"
