cc_code,file,row,account_code,description,nonblank_months,formulas,values_vnd
1412000004,01.KDTVN 機器製造1課　_MP FY2027_各予定(Ver01).xlsx,101,5004086291,"制服 ,靴, 帽子が壊れた時に交換する。Đổi đồng phục",12,"[10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000]","[10000000.0, 10000000.0, 10000000.0, 10000000.0, 10000000.0, 10000000.0, 10000000.0, 10000000.0, 10000000.0, 10000000.0, 10000000.0, 10000000.0]"
1412000004,01.KDTVN 機器製造1課　_MP FY2027_各予定(Ver01).xlsx,123,5004086291,"新人の 制服 (T1+2: đông (733000), T5+6+7+8+9: hè(713000), T10-11-12-3-4: đông hè(1063000)",4,"[null, null, null, null, ""=95*713000"", null, null, null, ""=19*1063000"", ""=112*733000"", ""=559*733000"", null]","[null, null, null, null, 67735000.0, null, null, null, 20197000.0, 82096000.0, 409747000.0, null]"
1412000005,02.KDTVN 機器製造２課　_MP FY2027_各予定(Ver01).xlsx,98,5004086291,"制服 ,靴, 帽子が壊れた時に交換する。Đổi đồng phục",12,"[10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000, 10000000]","[10000000.0, 10000000.0, 10000000.0, 10000000.0, 10000000.0, 10000000.0, 10000000.0, 10000000.0, 10000000.0, 10000000.0, 10000000.0, 10000000.0]"
1412000005,02.KDTVN 機器製造２課　_MP FY2027_各予定(Ver01).xlsx,120,5004086291,"新人の 制服 (T1+2: đông (733000), T5+6+7+8+9: hè(713000), T10-11-12-3-4: đông hè(1063000)",3,"[null, null, null, null, ""=19*713000"", null, null, null, null, ""=188*733000"", ""=583*733000"", null]","[null, null, null, null, 13547000.0, null, null, null, null, 137804000.0, 427339000.0, null]"
1412000062,03.KDTVN 機器製造管理課_MP FY2027_各予定(Ver01).xlsx,51,5004086291,"制服 ,靴, 帽子が壊れた時に交換する。Đổi đồng phục",0,"[null, null, null, null, null, null, null, null, null, null, null, null]","[null, null, null, null, null, null, null, null, null, null, null, null]"
1412000062,03.KDTVN 機器製造管理課_MP FY2027_各予定(Ver01).xlsx,52,5004086291,Đồng phục mới,0,"[null, null, null, null, null, null, null, null, null, null, null, null]","[null, null, null, null, null, null, null, null, null, null, null, null]"
1412000034,04.KDTVN トナー製造課_MP FY2027_各予定(Ver01).xlsx,78,5004086291, 新人の制服 Đồng phục CN mới,11,"[0, 2144000, null, 2144000, 10720000, 0, 24656000, 0, 0, 0, 0, 0]","[0.0, 2144000.0, null, 2144000.0, 10720000.0, 0.0, 24656000.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000034,04.KDTVN トナー製造課_MP FY2027_各予定(Ver01).xlsx,148,5004086291,制服 Đồng phục CN cũ,12,"[5000000, 5000000, 5000000, 5000000, 5000000, 5000000, 5000000, 5000000, 5000000, 5000000, 5000000, 5000000]","[5000000.0, 5000000.0, 5000000.0, 5000000.0, 5000000.0, 5000000.0, 5000000.0, 5000000.0, 5000000.0, 5000000.0, 5000000.0, 5000000.0]"
1412000048,05.KDTVN トナー生産技術課_MP FY2027_各予定(Ver01).xlsx,55,5004086291,Đồng phục 制服,12,"[146760, 146760, 146760, 146760, 146760, 146760, 146760, 146760, 146760, 146760, 146760, 146760]","[146760.0, 146760.0, 146760.0, 146760.0, 146760.0, 146760.0, 146760.0, 146760.0, 146760.0, 146760.0, 146760.0, 146760.0]"
1412000055,06.KDTVN トナー品質管理課　_MP FY2027_各予定(Ver01).xlsx,52,5004086291,Đồng phục 制服,12,"[146760, 146760, 146760, 146760, 146760, 146760, 146760, 146760, 146760, 146760, 146760, 146760]","[146760.0, 146760.0, 146760.0, 146760.0, 146760.0, 146760.0, 146760.0, 146760.0, 146760.0, 146760.0, 146760.0, 146760.0]"
1412000050,07.KDTVN MD1課_MP FY2027_各予定(Ver01).xlsx,110,5004086291,新入社員　 制服上着(夏服)　       x2枚/人,12,"[0, 0, 0, 0, 990000, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 990000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000050,07.KDTVN MD1課_MP FY2027_各予定(Ver01).xlsx,111,5004086291,新入社員　制服上着(冬服)　        x2枚/人,12,"[0, 0, 0, 0, 0, 0, 1050000, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1050000.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000050,07.KDTVN MD1課_MP FY2027_各予定(Ver01).xlsx,112,5004086291,新入社員　 制服(ズボン)　 　x2枚/人,12,"[0, 0, 0, 0, 696000, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 696000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000050,07.KDTVN MD1課_MP FY2027_各予定(Ver01).xlsx,182,5004086291,制服上着（夏服）,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1412000050,07.KDTVN MD1課_MP FY2027_各予定(Ver01).xlsx,183,5004086291,制服上着（冬服）,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
